Epoch,Default,No Elites,Low Mutation,High Mutation,Low Crossover
1,30.24390582,30.24390582,30.24390582,30.24390582,30.24390582
2,24.56807015,30.35449276,30.24390582,26.02529652,29.14243294
3,24.56807015,27.82195032,30.24390582,25.72439613,29.14243294
4,24.56807015,29.36032384,27.82566271,22.81426593,29.14243294
5,24.56807015,28.43199885,27.82566271,22.81426593,29.14243294
6,24.56807015,29.8395698,27.82566271,22.35309561,29.14243294
7,23.86353859,29.8395698,25.57292553,18.30863574,29.14243294
8,23.86353859,29.8395698,25.57292553,18.30863574,29.14243294
9,23.86353859,29.8395698,25.57292553,18.30863574,27.92464165
10,23.86353859,29.8395698,25.57292553,18.30863574,26.86090861
11,23.86353859,31.30439337,25.57292553,18.30863574,24.6078752
12,23.86353859,32.21687176,25.57292553,18.30863574,23.52582408
13,23.86353859,32.20235421,25.57292553,18.30863574,23.52582408
14,23.86353859,32.28967441,25.52417731,18.30863574,19.48925947
15,23.86353859,27.90361597,25.52417731,18.30863574,19.48925947
16,23.86353859,26.22615901,25.52417731,18.30863574,19.36864318
17,23.35812662,22.65688707,25.52417731,18.30863574,19.36864318
18,23.35812662,24.33930093,25.52417731,18.30863574,19.36864318
19,23.35812662,26.22615901,25.52417731,18.30863574,19.36864318
20,21.67069153,30.67383158,24.69506576,18.30863574,19.36864318
21,21.67069153,28.56310713,24.69506576,18.30863574,19.36864318
22,21.67069153,29.66418554,24.69506576,18.30863574,19.36864318
23,21.67069153,27.52648169,24.69506576,18.30863574,19.36864318
24,21.67069153,24.72525945,24.69506576,18.30863574,19.36864318
25,21.67069153,27.24129209,24.69506576,18.30863574,19.36864318
26,21.67069153,28.30553462,24.69506576,18.30863574,18.62192981
27,21.67069153,24.25854297,24.69506576,18.30863574,18.62192981
28,21.67069153,25.024995,24.69506576,18.30863574,18.62192981
29,21.67069153,25.024995,24.30778924,18.30863574,18.62192981
30,21.67069153,27.8428109,24.30778924,18.30863574,18.62192981
31,21.67069153,27.8428109,24.30778924,18.30863574,18.62192981
32,21.67069153,27.8428109,24.30778924,18.30863574,18.62192981
33,20.97562012,27.8428109,24.30778924,18.30863574,18.62192981
34,20.97562012,27.8428109,24.30778924,18.30863574,18.62192981
35,20.97562012,28.21052738,24.30778924,18.30863574,18.62192981
